="",代码,名称,连板数,涨停原因,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,涨停类型,涨停因子,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,流通市值,总市值
="",="600099",林海股份,首板,国企改革三年行动打响收官战；国资重组转让将迎新规。中国机械工业集团旗下，主营摩托车及特种车和动力及园林机械产品的生产制造,-1.75%,10.01%,42.93%,42.93%,13:42:45,13:45:00,11.32,15.04%,0.00%,---,---,换手板,炸板涨停 | 反包涨停,="3",1.76万手,18.11%,买入: 11天,---,---,KDJ金叉 阶段新高 BIAS金叉 估值较高, 5天3板,乡村振兴 | 农机 | 专精特新 | 两轮车,24.80亿,24.80亿
="",="605168",三人行,首板,公司主要提供数字营销服务、场景活动服务和校园媒体营销服务，第一大供应商为今日头条,-0.50%,10.00%,14.39%,14.39%,13:51:12,13:51:12,91.83,11.17%,0.00%,---,---,换手板,---,="0",6844手,5.61%,买入: 11天,---,---,MA(20日线支撑) 强势股 高管增持 估值较低, 1天1板,沪股通 | 大数据 | 基金重仓,40.64亿,93.12亿
="",="603197",保隆科技,首板,工信部正式开展新一轮新能源汽车下乡活动。全球最大的轮胎气门嘴、汽车车轮平衡块OEM和汽车排气管供应商之一；公司自制的TPMS产品已在国内OEM市场居于领先地位，设立合资公司进军77GHz毫米波汽车雷达业务,0.57%,10.00%,14.58%,14.58%,13:55:09,13:55:09,42.68,10.09%,0.00%,---,---,换手板,---,="0",1.38万手,3.37%,买入: 15天,卖出: 27天,---,强势股 机构关注最多 估值较高, 1天1板,沪股通 | 传感器 | 无人驾驶 | 新能源汽车 | 汽车电子 | 特斯拉 | 基金重仓 | 蔚来汽车概念 | 胎压监测,86.15亿,88.69亿
="",="002664",长鹰信质,首板,工信部正式开展新一轮新能源汽车下乡活动。全球领先的汽车发电机定子生产企业；公司与华为签署合作协议将在数字化和智能制造上展开合作,-3.52%,10.00%,31.06%,31.06%,13:59:24,13:59:24,15.95,15.66%,0.00%,---,---,换手板,反包涨停 | 隔日反包,="0",5.28万手,6.79%,买入: 14天,---,买入: 0天,强势股 游资上榜, 6天3板(1个一字板),深股通 | 智能制造 | 新能源汽车 | 汽车电子 | 特斯拉 | 宁德时代概念 | 华为概念,63.08亿,64.42亿
="",="000936",华西股份,首板,电源管理芯片等供应严重短缺。公司为光通信芯片公司索尔思光电第一大股东，参股13.87%的纵慧芯光被华为投资；持有联储证券有限责任公司14.77%的股份,0.20%,10.02%,13.03%,13.03%,14:04:51,14:37:39,5.38,11.62%,0.00%,---,---,换手板,烂板 | 放量,="9",9.53万手,3.97%,买入: 9天,---,---,量能巨变 MA(20日线支撑) 北向增仓 估值较低, 1天1板,深股通 | 创投 | 金融改革 | 人工智能 | 芯片概念 | 融资融券 | 参股银行 | 标普道琼斯A股,47.65亿,47.67亿
T,="002531",天顺风能,首板,全球最具规模的风力发电塔架制造商之一，上半年净利润同比增长47.1%,-0.88%,9.99%,24.53%,24.53%,14:06:00,14:38:45,15.08,11.37%,0.00%,---,---,换手板,炸板涨停,="1",2.25万手,4.29%,买入: 15天,买入: 15天,买入: 0天,强势股 北向增仓, 1天1板,深股通 | 风电 | 融资融券 | 标普道琼斯A股,266.77亿,271.82亿
="",="603319",DR湘油泵,首板,工信部正式开展新一轮新能源汽车下乡活动。国内内燃机机油泵龙头，联合易力达设立公司东嘉智能（持股40%），后者核心产品为智能驾驶执行层控制单元ECU，已经实现该产品在500多万辆的汽车保有量上应用，客户包括长安汽车,-0.14%,10.01%,21.66%,21.66%,14:06:51,14:06:51,15.61,12.38%,0.00%,---,---,换手板,---,="0",3.25万手,7.30%,买入: 11天,---,---,---, 1天1板,无人驾驶 | 新能源汽车 | 期货概念 | 华为概念 | 新能源车零部件,32.31亿,32.59亿
="",="603138",海量数据,首板,国内领先的数据技术提供商，聚焦数据管理产品与系统服务的龙头企业；以数据中心系统集成及服务业务起家，具备丰富的系统迁移经验；自主研发云图数据库产品家族AtlasDB，专注于企业级私有云数据，服务超过2000家企业客户,-0.30%,9.99%,13.51%,13.51%,14:09:07,14:09:07,14.87,11.30%,0.00%,---,---,换手板,---,="0",2.55万手,7.28%,买入: 14天,---,---,KDJ金叉 MTM金叉 MA(20日线支撑), 1天1板,大数据 | 云计算 | 雄安新区 | 横琴新区 | 数据中心,37.78亿,42.12亿
="",="002011",盾安环境,首板,5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。1、公司是全球制冷配件行业的龙头企业，控股股东格力电器终止筹划受让公司9.71%股份；
2、公司热管理业务拥有新能源汽车热管理系统关键零部件全系列产品，目前已与申龙、宁德时代、比亚迪等客户建立了合作关系,-0.22%,9.97%,30.43%,26.98%,14:12:57,14:57:00,9.93,12.46%,0.00%,---,---,换手板,烂板,="4",3708手,6.87%,买入: 11天,卖出: 6天,买入: 0天,KDJ金叉 CCI买入信号 MTM金叉 估值合理, 1天1板,传感器 | 核电 | 军工 | 智能制造 | 创投 | 新能源汽车 | 基金重仓 | 融资融券 | 高铁 | 地热 | 雄安新区 | 宁德时代概念 | 冷链物流 | 节能环保 | 华为概念 | 新能源车零部件,90.98亿,91.08亿
T,="002183",怡 亚 通,首板,1、公司间接控股大唐酒业，加强酱酒产业链布局；
2、中国消费品供应链领域的领军企业，拥有六大区域集散中心，覆盖全国30多个省级行政区的300多个城市的物流网络,1.04%,10.06%,16.10%,16.10%,14:24:18,14:42:12,9.52,12.13%,0.00%,---,---,换手板,炸板涨停,="3",10.26万手,18.84%,卖出: 7天,卖出: 6天,买入: 0天,KDJ金叉 阶段新高 MACD金叉 MACD买入信号 强势股 游资上榜 估值较低, 1天1板,农村电商 | 电商 | 深股通 | 智能制造 | 上海自贸区 | 金融改革 | 大数据 | 健康中国 | 融资融券 | 新零售 | 深圳国企改革 | 快递物流 | 粤港澳大湾区 | 白酒概念 | 国产操作系统 | 供应链金融 | 乡村振兴 | 电子烟 | 金融科技 | 标普道琼斯A股 | 网红经济 | 社区团购 | 统一大市场,226.86亿,247.24亿
="",="603228",景旺电子,首板,工信部正式开展新一轮新能源汽车下乡活动。1、PCB内资龙头，国内少数全面覆盖双面及多层刚性电路板、柔性电路板和金属基电路板厂商；
2、公司供应特斯拉的产品系通过汽车零配件厂商供货；子公司江西景旺具有较强的规模化制造能力，主要定位于汽车电子,-0.53%,10.01%,10.75%,10.75%,14:25:12,14:25:12,24.83,11.50%,0.00%,---,---,换手板,放量,="0",6827手,1.00%,买入: 14天,---,---,CCI买入信号 MTM金叉 多方炮 北向增仓 估值合理, 1天1板,沪股通 | 5G | 汽车电子 | 特斯拉 | 融资融券 | OLED | 印刷电路板 | 回购概念 | 华为概念 | 柔性屏 | 标普道琼斯A股 | PCB,209.04亿,211.47亿
="",="600776",东方通信,首板,全资子公司杭州东信网络技术有限公司在5G的NB-IOT工程的网络优化、替换升级、搬迁方面与华为公司有一定合作，另外表示企业网与信息安全产业主要产品为PDT与TETRA制式专网通信产品,0.20%,10.04%,28.29%,28.06%,14:35:33,14:35:33,11.18,9.93%,0.00%,---,---,换手板,反包涨停 | 隔日反包,="0",6.24万手,4.47%,买入: 9天,买入: 2天,---,CCI买入信号 多方炮 北向增仓 估值合理, 3天2板,信息安全 | 沪股通 | 5G | 融资融券 | 滴滴出行概念,106.88亿,140.42亿
="",="603322",超讯通信,首板,1、公司撤销其他风险警示；
2、综合通信技术服务商，是行业内少数的几家可以提供“一体化”服务的通信技术服务商之一,0.94%,9.99%,64.00%,64.00%,14:45:14,14:45:14,16.40,9.92%,0.00%,---,---,换手板,反包涨停,="0",4237手,6.85%,买入: 14天,---,买入: 5天,阶段新高 均线多头排列 BIAS金叉 强势股, 1天1板,智慧城市 | 移动支付 | 物联网 | 智能制造 | 5G | 云计算 | 智能物流 | 芯片概念 | 摘帽 | 边缘计算 | 华为概念,25.67亿,26.26亿
="",="603533",掌阅科技,首板,字节跳动旗下量子跃动拟受让11.23%公司股份；公司与字节跳动在版权、内容生产、广告商业化等多方面开展合作,0.13%,9.99%,11.82%,11.82%,14:47:58,14:47:58,16.74,12.05%,0.00%,---,---,换手板,放量,="0",1.68万手,2.86%,买入: 16天,---,---,CCI买入信号 BIAS金叉 MTM金叉 MA(20日线支撑) 北向增仓, 1天1板,沪股通 | 独角兽概念 | 知识产权保护 | 华为概念 | 抖音 | 标普道琼斯A股,73.47亿,73.47亿
="",="605128",上海沿浦,首板,工信部正式开展新一轮新能源汽车下乡活动。公司为汽车座椅骨架自主龙头,-1.40%,10.00%,17.19%,17.19%,14:51:42,14:53:57,30.68,13.00%,0.00%,---,---,换手板,炸板涨停 | 小盘股,="1",1245手,13.64%,买入: 15天,---,买入: 4天,KDJ金叉 CCI买入信号 BIAS金叉 MTM金叉 估值较高, 1天1板,高铁,12.80亿,24.54亿
="",="002519",银河电子,="2",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司主要是为新能源汽车提供充电设备、车载电动空调系统和其他车载关键设备，主要产品包括电源模块、充电桩、车载充电机、移动充电机、DC/DC模块、电动空调压缩机等，客户包括比亚迪、宁德时代等,10.11%,10.11%,34.45%,34.45%,09:25:00,09:25:00,5.23,0.00%,0.00%,---,---,一字板,一字板 | 红黄白涨停 | 缩量,="0",23.49万手,3.03%,买入: 12天,买入: 1天,---,阶段新高 强势股 游资上榜, 2天2板(1个一字板),军工 | 充电桩 | 机器人概念 | 军民融合 | 新能源汽车 | 智能电网 | 特斯拉 | 新能源车零部件 | 超高清视频,53.06亿,58.91亿
="",="000868",安凯客车,="2",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司主营新能源客车，打造出安徽首条氢燃料公交示范线运营车辆,10.10%,10.10%,39.61%,39.61%,09:25:00,09:25:00,5.78,0.00%,0.00%,---,---,一字板,一字板 | 缩量,="0",26.70万手,1.96%,买入: 12天,卖出: 2天,买入: 1天,阶段新高,10天5板(1个一字板),无人驾驶 | 新能源汽车 | PPP概念 | 燃料电池 | 华为概念 | 华为汽车,42.39亿,42.39亿
="",="000628",高新发展,="2",公司筹划收购森未科技和芯未半导体控制权,9.97%,9.97%,28.94%,28.94%,09:25:00,09:25:00,15.55,0.00%,0.00%,---,---,一字板,一字板,="0",5.88万手,0.82%,买入: 19天,---,---,阶段新高 强势股, 2天2板(2个一字板),智慧城市 | 创投 | 参股新三板 | PPP概念 | 期货概念,29.87亿,54.78亿
="",="000521",长虹美菱,="2",公司发布行业首款冰箱茶吧机,5.07%,9.90%,30.37%,30.37%,09:30:12,09:30:12,4.55,4.84%,0.00%,---,---,换手板,秒板,="0",14.76万手,4.54%,买入: 12天,---,---,KDJ金叉 阶段新高, 2天2板,电商 | 参股新三板 | 智能家居 | 工业互联网 | 独角兽概念 | 医疗器械概念 | 冷链物流 | 垃圾分类,39.79亿,46.86亿
="",="002265",西仪股份,="2",辽宁舰20日进入台湾海峡，美国国务院东亚暨太平洋事务局副助理国务卿20日抵达台北进行访问。公司拟购买兵器装备集团持有的建设工业，标的是我国规模最大的枪械类轻武器装备研发制造企业，主要装备于陆军、海军、空军、火箭军、战略支援部队、公安、武警及驻港澳部队,5.89%,9.98%,18.89%,18.89%,09:32:24,10:58:42,17.75,6.54%,0.00%,---,---,换手板,烂板 | 放量,="14",1.80万手,18.35%,买入: 16天,---,---,量能巨变 估值高, 2天2板,军工 | 混改,56.55亿,56.55亿
="",="002819",东方中科,="2",人民日报：让更多国产软件大显身手，软件产业做大做强正当其时。公司拟收购万里红，标的主营业务包括信息安全保密业务、政务集成业务及虹膜识别业务,2.39%,9.98%,24.18%,24.18%,09:32:42,09:32:42,25.78,8.32%,0.00%,---,---,换手板,---,="0",1.69万手,1.34%,买入: 2天,---,---,估值较低, 2天2板,人脸识别 | 虹膜识别 | 新能源汽车 | 国产软件 | 资产重组 | 华为概念,36.10亿,82.03亿
="",="603683",晶华新材,="2",公司拟10亿元投建石墨烯新型热管理材料生产线等项目,6.71%,9.95%,19.87%,19.87%,09:39:16,09:39:16,9.17,8.14%,0.00%,---,---,换手板,放量 | 小盘股,="0",3.35万手,4.97%,买入: 13天,---,---,量能巨变 强势股 估值较低, 2天2板(1个一字板),新材料概念 | 宁德时代概念,19.69亿,20.20亿
="",="002578",闽发铝业,="2",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司为海西板块的铝型材龙头企业，主营业务和产品主要是建筑铝型材、工业铝型材和建筑铝模板，产品可用于新能源汽车，此前与亿维汽车签署战略合作框架协议,0.40%,10.08%,36.86%,36.86%,09:45:54,09:45:54,5.57,12.98%,0.00%,---,---,换手板,---,="0",6.15万手,8.04%,卖出: 5天,---,---,KDJ金叉 阶段新高 强势股 机构上榜 多家机构买入 估值高, 2天2板,海峡两岸 | 光伏概念 | 一带一路 | 新能源汽车 | 股权转让 | 新能源车零部件,49.34亿,55.04亿
="",="002296",辉煌科技,="2",国务院支持中国铁路集团发行3000亿元铁路建设债券。1、公司主营铁路信号通信领域产品的研产销，主要产品包括铁路信号微机监测系统、列车调度指挥系统、无线调车机车信号和监控系统等；
2、参股公司赛弗科技（持股33%）旗下速位隆通（北京）重点业务为彩票新彩种研发及运营,2.76%,10.03%,23.09%,23.09%,09:46:51,09:46:51,7.57,9.39%,0.00%,---,---,换手板,放量,="0",8.26万手,8.40%,买入: 13天,---,---,CCI买入信号 强势股 估值合理, 2天2板,北斗导航 | 互联网彩票 | 壳资源 | 区块链 | 高铁 | 工业互联网 | 年报预增 | 专精特新,25.90亿,29.49亿
="",="002630",华西能源,="2",国家发改委、能源局发文加快推进大型风电光伏基地建设。公司新签20亿订单为老挝南潘2×330MW超临界清洁能源电站项目,2.94%,10.08%,27.18%,27.18%,10:07:24,10:08:42,2.62,8.71%,0.00%,---,---,换手板,炸板涨停 | 放量,="1",10.06万手,18.21%,卖出: 3天,---,---,量能巨变, 7天4板(1个一字板),固废处理 | 光伏概念 | 环保 | 无人驾驶 | 新材料概念 | PPP概念 | 节能环保 | 参股银行 | 碳中和 | 储能,25.45亿,30.94亿
="",="601127",小康股份,="2",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司与华为合作汽车赛力斯，问界M7将发布,0.40%,10.00%,34.88%,34.88%,10:10:43,10:10:43,63.57,9.60%,0.00%,---,---,换手板,---,="0",3.90万手,2.84%,买入: 14天,卖出: 7天,---,均线多头排列 强势股, 4天3板,车联网 | 工业4.0 | 无人驾驶 | 新能源汽车 | 阿里巴巴概念 | 基金重仓 | 融资融券 | 百度概念 | 华为概念 | 业绩爆雷 | 华为汽车 | 参股银行 | 标普道琼斯A股 | 地摊经济,656.40亿,864.51亿
="",="002101",广东鸿图,="2",工信部正式开展新一轮新能源汽车下乡活动。1、华南地区铝压铸行业龙头，签署12000T超级智能压铸单元研发协议，加速布局新能源汽车产业；
2、公司是华为的一级供应商，主要为华为配套供应通讯设备的铝合金压铸零部件，曾表示将积极在华为汽车相关业务方面进行拓展；
3、2021年净利预增70%-90%,0.25%,10.02%,27.77%,27.77%,10:41:36,13:38:24,13.39,11.68%,0.00%,---,---,换手板,炸板涨停,="2",1.42万手,7.07%,买入: 14天,买入: 13天,买入: 1天,强势股 估值较高, 2天2板,创投 | 5G | 新能源汽车 | 汽车电子 | 特斯拉 | 宁德时代概念 | 蔚来汽车概念 | 华为概念 | 华为汽车 | 横琴新区,70.82亿,70.82亿
="",="688258",卓易信息,="2",龙头5个交易日翻倍；云从科技上市后连续大涨。公司是国内少数掌握X86、ARM、MIPS等多架构BIOS技术及BMC固件开发技术的厂商，一季度净利润同比增加87.40%,-5.01%,19.99%,43.70%,43.70%,13:28:05,13:46:56,36.86,26.84%,0.00%,---,---,换手板,炸板涨停 | 放量 | 小盘股,="1",3896手,19.89%,买入: 1天,---,---,量能巨变 强势股 机构上榜 机构净买入 多家机构买入 估值较低, 2天2板,物联网 | 云计算 | 国产软件 | 融资融券 | 华为概念,16.02亿,32.05亿
="",="000584",哈工智能,="2",---,1.59%,9.92%,20.43%,20.43%,13:54:12,13:54:12,5.54,11.24%,0.00%,---,---,换手板,放量,="0",2.71万手,7.85%,买入: 11天,---,---,CCI买入信号, 2天2板,军工 | 智能制造 | 工业4.0 | 机器人概念 | 新能源汽车 | 人工智能 | 特斯拉 | 蔚来汽车概念 | 高端装备 | 高商誉,41.33亿,42.16亿
="",="600960",渤海汽车,="3",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司目前持有北汽蓝谷3.01%股份，是北汽集团A股唯一零部件资源整合平台；子公司滨州渤海活塞是国内最大的活塞生产企业，多年来一直保持国内活塞产品产销量第一,10.08%,10.08%,59.76%,59.76%,09:25:01,10:08:04,5.24,11.49%,0.00%,---,---,T字板,烂板 | 放量,="1",11.62万手,15.70%,买入: 12天,---,买入: 2天,量能巨变 阶段新高 强势股 游资上榜,10天5板,新能源汽车 | 新能源车零部件 | 工业母机 | 中俄贸易,49.81亿,49.81亿
="",="600006",东风汽车,="3",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。公司控股股东将变更为东风集团，实控人将变更为国务院国资委,10.03%,10.03%,60.74%,60.74%,09:25:03,09:25:03,8.23,0.00%,0.00%,---,---,一字板,一字板,="0",66.74万手,0.48%,买入: 11天,买入: 3天,---,强势股, 3天3板(3个一字板),智能制造 | 无人驾驶 | 新能源汽车 | 融资融券 | 燃料电池 | 华为汽车 | 地摊经济,164.60亿,164.60亿
="",="000909",数源科技,="3",公司研发的适用于华为P50 Pro的双模“5G通信壳”发布,4.21%,10.02%,60.74%,60.74%,09:31:12,09:59:30,13.84,5.57%,0.00%,---,---,换手板,炸板涨停,="1",6.57万手,9.62%,卖出: 5天,买入: 2天,---,阶段新高 均线多头排列 强势股 估值高,13天9板(3个一字板),车联网 | 智慧城市 | 物联网 | 充电桩 | 无人驾驶 | 5G | 智能交通 | 券商重仓 | 资产重组 | 消费电子 | 杭州亚运会 | 华为概念 | 超高清视频 | ETC | 云办公 | 共同富裕示范区 | 元宇宙 | 智慧政务,53.62亿,62.81亿
="",="600354",敦煌种业,="3",印度政府宣布禁止大米出口，全球粮食持续涨价。国家育繁推一体化企业；公司主要从事各类农作物种子的研产销，核心产品为玉米种子，兼营脱水菜、番茄粉、啤酒花制品的和高品质果蔬鲜品,-0.87%,10.04%,34.34%,34.34%,09:32:25,10:00:38,8.88,12.12%,0.00%,---,---,换手板,炸板涨停,="2",8.07万手,23.24%,买入: 17天,买入: 8天,买入: 13天,阶段新高 均线多头排列 强势股 游资上榜, 3天3板,粮食安全 | 资产重组 | 乡村振兴 | 玉米 | 农业种植,46.87亿,46.87亿
="",="000716",黑芝麻,="3",5月重点新能源车企交付大幅回暖；财政部、税务总局发布关于减征部分乘用车车辆购置税的通知。印度政府宣布禁止大米出口，全球粮食持续涨价。1、我国糊类食品的细分龙头企业；主要产品包括南方黑芝麻糊、黑黑轻脂饮品等；
2、旗下拥有京和米业，主要生产的香米富硒米，年生产大米能力20万吨；
3、参股公司天臣能源产品主要配套供应给新能源汽车、电动车及家用电器使用,8.36%,9.92%,37.13%,37.13%,11:13:00,11:13:00,4.21,19.94%,0.00%,---,---,换手板,放量,="0",14.18万手,26.29%,买入: 8天,---,---,量能巨变 阶段新高 强势股 游资上榜, 3天3板,电商 | 参股新三板 | 跨境电商 | 粮食安全 | 新能源汽车 | 锂电池 | 休闲食品 | 饮料 | 乡村振兴 | 农业种植 | 网红经济,29.30亿,31.32亿
="",="603069",海汽集团,="4",公司拟向海南旅投发行股份及支付现金购买其持有的海旅免税的100%股权,10.01%,10.01%,71.11%,71.11%,09:25:03,09:25:03,17.59,0.00%,0.00%,---,---,一字板,一字板,="0",28.99万手,0.26%,买入: 5天,卖出: 21天,---,强势股, 7天5板(4个一字板),新能源汽车 | 海南自贸区 | 汽车销售 | 免税店,55.58亿,55.58亿
="",="688150",莱特光电,="4",龙头5个交易日翻倍；云从科技上市后连续大涨。云从科技上市后大涨。公司主营OLED有机材料，主要产品包括OLED终端材料和OLED中间体
,6.63%,20.02%,118.95%,118.95%,10:41:31,10:41:31,31.66,12.67%,0.00%,---,---,换手板,小盘股,="0",1.50万手,59.32%,买入: 4天,---,---,量能巨变 强势股, 4天4板,次新股 | 基金重仓 | 融资融券 | OLED | 注册制次新股 | 专精特新,10.35亿,127.41亿
="",="002066",瑞泰科技,="5",国企改革三年行动打响收官战；国资重组转让将迎新规。中国建材集团旗下，中国最大的熔铸耐火材料生产基地,9.95%,10.01%,67.69%,67.69%,10:04:21,11:08:45,16.92,19.83%,0.00%,---,---,换手板,烂板 | 放量,="2",2.34万手,22.44%,买入: 14天,---,---,量能巨变 阶段新高 连续三日锤头线 强势股 游资上榜 估值较低, 5天5板,新材料概念 | 汇金 | 资产重组 | 碳中和,39.09亿,39.09亿
="",="000025",特 力Ａ,="7",国企改革三年行动打响收官战；国资重组转让将迎新规。工信部正式开展新一轮新能源汽车下乡活动。公司实控人为深圳国资委旗下的特发集团，主营汽车销售、汽车检测维修及配件销售、物业租赁及服务，市场知名妖股之一,8.39%,10.01%,96.13%,96.13%,09:30:39,09:30:39,23.85,3.70%,0.00%,---,---,换手板,秒板 | 缩量,="0",7.75万手,3.54%,买入: 14天,---,---,阶段新高 强势股 估值合理,15天8板(1个一字板),融资融券 | 深圳国企改革 | 粤港澳大湾区 | 汽车销售 | 标普道琼斯A股 | 物业管理,93.68亿,102.81亿
="",="000595",宝塔实业,="8",中航电子、中航机电两大军工央企宣布合并。1、国内首家也是唯一一家完成地铁B型车轴箱轴承正线运行考核试验并开始装车形成市场销售的生产厂商；
2、子公司桂林海威在海军消磁、扫雷行业中具有研制和生产的能力，掌握了消磁、扫雷设备的核心技术，消磁设备产品用于包括航母在内的军用船舶,8.77%,10.03%,123.80%,123.80%,09:30:15,09:39:15,7.90,3.95%,0.00%,---,---,换手板,炸板涨停 | 放量,="3",13.27万手,15.18%,买入: 18天,卖出: 16天,买入: 7天,量能巨变 阶段新高 均线多头排列 强势股 游资上榜,19天10板(4个一字板),光伏概念 | 航母 | 军工 | 风电 | 摘帽 | 回购概念 | 高商誉,89.91亿,89.95亿
