fancuiruo_shuangxiangpao--0,codename null-**003007.SZ
fancuiruo_shuangxiangpao--0,codename null-**003007.SZ
fancuiruo_shuangxiangpao--20241008,玻璃,金晶科技**600586.SH
fancuiruo_shuangxiangpao--20241008,铝,中孚实业**600595.SH
fancuiruo_shuangxiangpao--20241008,园区开发,市北高新**600604.SH
fancuiruo_shuangxiangpao--20241008,化工原料,中毅达**600610.SH
fancuiruo_shuangxiangpao--20241008,铝,丰华股份**600615.SH
fancuiruo_shuangxiangpao--20241008,综合类,天宸股份**600620.SH
fancuiruo_shuangxiangpao--20241008,区域地产,光大嘉宝**600622.SH
fancuiruo_shuangxiangpao--20241008,化工原料,华谊集团**600623.SH
fancuiruo_shuangxiangpao--20241008,供气供热,大众公用**600635.SH
fancuiruo_shuangxiangpao--20241008,影视音像,国脉文化**600640.SH
fancuiruo_shuangxiangpao--20241008,园区开发,外高桥**600648.SH
fancuiruo_shuangxiangpao--20241008,区域地产,城投控股**600649.SH
fancuiruo_shuangxiangpao--20241008,全国地产,信达地产**600657.SH
fancuiruo_shuangxiangpao--20241008,文教休闲,昂立教育**600661.SH
fancuiruo_shuangxiangpao--20241008,文教休闲,外服控股**600662.SH
fancuiruo_shuangxiangpao--20241008,化学制药,哈药股份**600664.SH
fancuiruo_shuangxiangpao--20241008,区域地产,珠江股份**600684.SH
fancuiruo_shuangxiangpao--20241008,汽车整车,金龙汽车**600686.SH
fancuiruo_shuangxiangpao--20241008,旅游景点,曲江文旅**600706.SH
fancuiruo_shuangxiangpao--20241008,元器件,彩虹股份**600707.SH
fancuiruo_shuangxiangpao--20241008,商贸代理,苏美达**600710.SH
fancuiruo_shuangxiangpao--20241008,软件服务,东软集团**600718.SH
fancuiruo_shuangxiangpao--20241008,供气供热,大连热电**600719.SH
fancuiruo_shuangxiangpao--20241008,商贸代理,云维股份**600725.SH
fancuiruo_shuangxiangpao--20241008,软件服务,佳都科技**600728.SH
fancuiruo_shuangxiangpao--20241008,电气设备,爱旭股份**600732.SH
fancuiruo_shuangxiangpao--20241008,火力发电,华银电力**600744.SH
fancuiruo_shuangxiangpao--20241008,旅游景点,西藏旅游**600749.SH
fancuiruo_shuangxiangpao--20241008,通信设备,东方通信**600776.SH
fancuiruo_shuangxiangpao--20241008,百货,友好集团**600778.SH
fancuiruo_shuangxiangpao--20241008,化工原料,渤海化学**600800.SH
fancuiruo_shuangxiangpao--20241008,水泥,福建水泥**600802.SH
fancuiruo_shuangxiangpao--20241008,农业综合,东方集团**600811.SH
fancuiruo_shuangxiangpao--20241008,化学制药,华北制药**600812.SH
fancuiruo_shuangxiangpao--20241008,超市连锁,百联股份**600827.SH
fancuiruo_shuangxiangpao--20241008,百货,茂业商业**600828.SH
fancuiruo_shuangxiangpao--20241008,园区开发,上海临港**600848.SH
fancuiruo_shuangxiangpao--20241008,电气设备,远东股份**600869.SH
fancuiruo_shuangxiangpao--20241008,广告包装,博瑞传播**600880.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,渤海汽车**600960.SH
fancuiruo_shuangxiangpao--20241008,造纸,博汇纸业**600966.SH
fancuiruo_shuangxiangpao--20241008,农业综合,新五丰**600975.SH
fancuiruo_shuangxiangpao--20241008,水力发电,广安爱众**600979.SH
fancuiruo_shuangxiangpao--20241008,互联网,浙文互联**600986.SH
fancuiruo_shuangxiangpao--20241008,水力发电,南网储能**600995.SH
fancuiruo_shuangxiangpao--20241008,焦炭加工,陕西黑猫**601015.SH
fancuiruo_shuangxiangpao--20241008,铅锌,华钰矿业**601020.SH
fancuiruo_shuangxiangpao--20241008,百货,国芳集团**601086.SH
fancuiruo_shuangxiangpao--20241008,小金属,博威合金**601137.SH
fancuiruo_shuangxiangpao--20241008,路桥,龙江交通**601188.SH
fancuiruo_shuangxiangpao--20241008,铝,怡球资源**601388.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,通用股份**601500.SH
fancuiruo_shuangxiangpao--20241008,广告包装,东峰集团**601515.SH
fancuiruo_shuangxiangpao--20241008,新型电力,嘉泽新能**601619.SH
fancuiruo_shuangxiangpao--20241008,化工原料,滨化股份**601678.SH
fancuiruo_shuangxiangpao--20241008,摩托车,力帆科技**601777.SH
fancuiruo_shuangxiangpao--20241008,建筑工程,宁波建工**601789.SH
fancuiruo_shuangxiangpao--20241008,出版业,皖新传媒**601801.SH
fancuiruo_shuangxiangpao--20241008,出版业,中国科传**601858.SH
fancuiruo_shuangxiangpao--20241008,银行,紫金银行**601860.SH
fancuiruo_shuangxiangpao--20241008,广告包装,宝钢包装**601968.SH
fancuiruo_shuangxiangpao--20241008,普钢,海南矿业**601969.SH
fancuiruo_shuangxiangpao--20241008,服饰,奥康国际**603001.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,联明股份**603006.SH
fancuiruo_shuangxiangpao--20241008,食品,千禾味业**603027.SH
fancuiruo_shuangxiangpao--20241008,装修装饰,全筑股份**603030.SH
fancuiruo_shuangxiangpao--20241008,家居用品,华立股份**603038.SH
fancuiruo_shuangxiangpao--20241008,通信设备,华脉科技**603042.SH
fancuiruo_shuangxiangpao--20241008,小金属,福达合金**603045.SH
fancuiruo_shuangxiangpao--20241008,纺织,台华新材**603055.SH
fancuiruo_shuangxiangpao--20241008,通信设备,剑桥科技**603083.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,天成自控**603085.SH
fancuiruo_shuangxiangpao--20241008,旅游景点,长白山**603099.SH
fancuiruo_shuangxiangpao--20241008,电器仪表,川仪股份**603100.SH
fancuiruo_shuangxiangpao--20241008,影视音像,横店影视**603103.SH
fancuiruo_shuangxiangpao--20241008,电气设备,芯能科技**603105.SH
fancuiruo_shuangxiangpao--20241008,焦炭加工,金能科技**603113.SH
fancuiruo_shuangxiangpao--20241008,通信设备,共进股份**603118.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,华培动力**603121.SH
fancuiruo_shuangxiangpao--20241008,旅游景点,天目湖**603136.SH
fancuiruo_shuangxiangpao--20241008,专用机械,兰石重装**603169.SH
fancuiruo_shuangxiangpao--20241008,环境保护,德创环保**603177.SH
fancuiruo_shuangxiangpao--20241008,软件服务,格尔软件**603232.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,浙江仙通**603239.SH
fancuiruo_shuangxiangpao--20241008,玻璃,宏和科技**603256.SH
fancuiruo_shuangxiangpao--20241008,机械基件,海鸥股份**603269.SH
fancuiruo_shuangxiangpao--20241008,多元金融,华铁应急**603300.SH
fancuiruo_shuangxiangpao--20241008,机械基件,应流股份**603308.SH
fancuiruo_shuangxiangpao--20241008,医疗保健,维力医疗**603309.SH
fancuiruo_shuangxiangpao--20241008,食品,天味食品**603317.SH
fancuiruo_shuangxiangpao--20241008,家居用品,我乐家居**603326.SH
fancuiruo_shuangxiangpao--20241008,元器件,福蓉科技**603327.SH
fancuiruo_shuangxiangpao--20241008,仓储物流,上海雅仕**603329.SH
fancuiruo_shuangxiangpao--20241008,塑料,天洋新材**603330.SH
fancuiruo_shuangxiangpao--20241008,建筑工程,东珠生态**603359.SH
fancuiruo_shuangxiangpao--20241008,纺织,水星家纺**603365.SH
fancuiruo_shuangxiangpao--20241008,医药商业,柳药集团**603368.SH
fancuiruo_shuangxiangpao--20241008,元器件,骏亚科技**603386.SH
fancuiruo_shuangxiangpao--20241008,房产服务,南都物业**603506.SH
fancuiruo_shuangxiangpao--20241008,服饰,锦泓集团**603518.SH
fancuiruo_shuangxiangpao--20241008,铜,众源新材**603527.SH
fancuiruo_shuangxiangpao--20241008,软件服务,多伦科技**603528.SH
fancuiruo_shuangxiangpao--20241008,电气设备,神马电力**603530.SH
fancuiruo_shuangxiangpao--20241008,电器仪表,海兴电力**603556.SH
fancuiruo_shuangxiangpao--20241008,中成药,珍宝岛**603567.SH
fancuiruo_shuangxiangpao--20241008,农药化肥,苏利股份**603585.SH
fancuiruo_shuangxiangpao--20241008,环境保护,高能环境**603588.SH
fancuiruo_shuangxiangpao--20241008,玻璃,再升科技**603601.SH
fancuiruo_shuangxiangpao--20241008,矿物制品,索通发展**603612.SH
fancuiruo_shuangxiangpao--20241008,家居用品,茶花股份**603615.SH
fancuiruo_shuangxiangpao--20241008,机械基件,君禾股份**603617.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,徕木股份**603633.SH
fancuiruo_shuangxiangpao--20241008,小金属,三祥新材**603663.SH
fancuiruo_shuangxiangpao--20241008,机械基件,五洲新春**603667.SH
fancuiruo_shuangxiangpao--20241008,电气设备,华体科技**603679.SH
fancuiruo_shuangxiangpao--20241008,机械基件,纽威股份**603699.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,德宏股份**603701.SH
fancuiruo_shuangxiangpao--20241008,医药商业,塞力医疗**603716.SH
fancuiruo_shuangxiangpao--20241008,农业综合,天域生物**603717.SH
fancuiruo_shuangxiangpao--20241008,农业综合,海利生物**603718.SH
fancuiruo_shuangxiangpao--20241008,塑料,天安新材**603725.SH
fancuiruo_shuangxiangpao--20241008,石油开采,博迈科**603727.SH
fancuiruo_shuangxiangpao--20241008,广告包装,龙韵股份**603729.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,岱美股份**603730.SH
fancuiruo_shuangxiangpao--20241008,元器件,沃格光电**603773.SH
fancuiruo_shuangxiangpao--20241008,食品,来伊份**603777.SH
fancuiruo_shuangxiangpao--20241008,摩托车,新日股份**603787.SH
fancuiruo_shuangxiangpao--20241008,环境保护,联泰环保**603797.SH
fancuiruo_shuangxiangpao--20241008,通信设备,瑞斯康达**603803.SH
fancuiruo_shuangxiangpao--20241008,农药化肥,丰山集团**603810.SH
fancuiruo_shuangxiangpao--20241008,电气设备,神力股份**603819.SH
fancuiruo_shuangxiangpao--20241008,染料涂料,百合花**603823.SH
fancuiruo_shuangxiangpao--20241008,仓储物流,嘉友国际**603871.SH
fancuiruo_shuangxiangpao--20241008,服饰,莱绅通灵**603900.SH
fancuiruo_shuangxiangpao--20241008,专用机械,永创智能**603901.SH
fancuiruo_shuangxiangpao--20241008,汽车配件,合力科技**603917.SH
fancuiruo_shuangxiangpao--20241008,专用机械,威派格**603956.SH
fancuiruo_shuangxiangpao--20241008,专用机械,法兰泰克**603966.SH
fancuiruo_shuangxiangpao--20241008,染料涂料,吉华集团**603980.SH
fancuiruo_shuangxiangpao--20241008,软件服务,麦迪科技**603990.SH
fancuiruo_shuangxiangpao--20241008,中成药,方盛制药**603998.SH
fancuiruo_shuangxiangpao--0,codename null-**003007.SZ
fancuiruo_shuangxiangpao--0,酒店餐饮,全聚德**002186.SZ
fancuiruo_shuangxiangpao--0,影视音像,中广天择**603721.SH
fancuiruo_shuangxiangpao--0,软件服务,云鼎科技**000409.SZ
fancuiruo_shuangxiangpao--0,多元金融,华金资本**000532.SZ
fancuiruo_shuangxiangpao--0,软件服务,云鼎科技**000409.SZ
fancuiruo_shuangxiangpao--0,多元金融,华金资本**000532.SZ
fancuiruo_shuangxiangpao--0,造纸,美利云**000815.SZ
fancuiruo_shuangxiangpao--0,专用机械,潍柴重机**000880.SZ
fancuiruo_shuangxiangpao--0,摩托车,宗申动力**001696.SZ
fancuiruo_shuangxiangpao--0,陶瓷,悦心健康**002162.SZ
fancuiruo_shuangxiangpao--0,电气设备,智光电气**002169.SZ
fancuiruo_shuangxiangpao--0,水泥,国统股份**002205.SZ
fancuiruo_shuangxiangpao--0,石油开采,准油股份**002207.SZ
fancuiruo_shuangxiangpao--0,半导体,大为股份**002213.SZ
fancuiruo_shuangxiangpao--0,通信设备,奥维通信**002231.SZ
fancuiruo_shuangxiangpao--0,软件服务,启明信息**002232.SZ
fancuiruo_shuangxiangpao--0,IT设备,新北洋**002376.SZ
fancuiruo_shuangxiangpao--0,化学制药,科伦药业**002422.SZ
fancuiruo_shuangxiangpao--0,互联网,万润科技**002654.SZ
fancuiruo_shuangxiangpao--0,水泥,龙泉股份**002671.SZ
fancuiruo_shuangxiangpao--0,塑料,顾地科技**002694.SZ
fancuiruo_shuangxiangpao--0,汽车配件,浙江世宝**002703.SZ
fancuiruo_shuangxiangpao--0,电器仪表,威星智能**002849.SZ
fancuiruo_shuangxiangpao--0,农药化肥,新农股份**002942.SZ
fancuiruo_shuangxiangpao--0,运输设备,科安达**002972.SZ
fancuiruo_shuangxiangpao--0,多元金融,九鼎投资**600053.SH
fancuiruo_shuangxiangpao--0,IT设备,同方股份**600100.SH
fancuiruo_shuangxiangpao--0,专用机械,北方导航**600435.SH
fancuiruo_shuangxiangpao--0,电气设备,保变电气**600550.SH
fancuiruo_shuangxiangpao--0,通信设备,国睿科技**600562.SH
fancuiruo_shuangxiangpao--0,化学制药,复旦复华**600624.SH
fancuiruo_shuangxiangpao--0,园区开发,浦东金桥**600639.SH
fancuiruo_shuangxiangpao--0,半导体,太极实业**600667.SH
fancuiruo_shuangxiangpao--0,化工原料,鲁北化工**600727.SH
fancuiruo_shuangxiangpao--0,百货,利群股份**601366.SH
fancuiruo_shuangxiangpao--0,化工原料,宏昌电子**603002.SH
fancuiruo_shuangxiangpao--0,多元金融,翠微股份**603123.SH
fancuiruo_shuangxiangpao--0,建筑工程,诚邦股份**603316.SH
fancuiruo_shuangxiangpao--0,造纸,京华激光**603607.SH
fancuiruo_shuangxiangpao--0,元器件,科森科技**603626.SH
fancuiruo_shuangxiangpao--0,塑料,东宏股份**603856.SH
