--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20220304--英特集团**000411.SZ
--筹码突破  成功了--20220304--南华生物**000504.SZ
--筹码突破  成功了--20220304--贝瑞基因**000710.SZ
--筹码突破  成功了--20220304--中广核技**000881.SZ
--筹码突破  成功了--20220304--重药控股**000950.SZ
--筹码突破  成功了--20220304--天奇股份**002009.SZ
--筹码突破  成功了--20220304--悦心健康**002162.SZ
--筹码突破  成功了--20220304--北化股份**002246.SZ
--筹码突破  成功了--20220304--长江健康**002435.SZ
--筹码突破  成功了--20220304--嘉事堂**002462.SZ
--筹码突破  成功了--20220304--榕基软件**002474.SZ
--筹码突破  成功了--20220304--中坚科技--强势股票**002779.SZ
--筹码突破  成功了--20220304--赛隆药业**002898.SZ
--筹码突破  成功了--20220304--宁波联合**600051.SH
--筹码突破  成功了--20220304--长城电工**600192.SH
--筹码突破  成功了--20220304--开开实业**600272.SH
--筹码突破  成功了--20220304--昂立教育**600661.SH
--筹码突破  成功了--20220304--祥龙电业**600769.SH
--筹码突破  成功了--20220304--云煤能源**600792.SH
--筹码突破  成功了--20220304--宁波海运**600798.SH
--筹码突破  成功了--20220304--第一医药--强势股票**600833.SH
--筹码突破  成功了--20220304--江南水务--强势股票**601199.SH
--筹码突破  成功了--20220304--爱婴室**603214.SH
--筹码突破  成功了--20220304--柳药股份**603368.SH
--筹码突破  成功了--20220304--美诺华**603538.SH
--筹码突破  成功了--20220228--恒林股份**603661.SH
--筹码突破  成功了--20220304--大理药业**603963.SH
--筹码突破日线--20220309----持仓量_周线开始=20211224-结束=20220304--中间值=7.12--大于7个----换手率=32.6----梅轮电梯**603321.SH
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个----换手率=82.9----流通市值=605507.5112--北方国际**000065.SZ
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=20.65--大于7个----换手率=56.1----流通市值=381148.4783--力生制药**002393.SZ
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=8.37--大于7个----换手率=118.4----流通市值=273635.7476--快意电梯--强势股票**002774.SZ
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=10.64--大于7个----换手率=27.8----流通市值=169092.4307--绿康生化**002868.SZ
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=7.95--大于7个----换手率=32.0----流通市值=416800.0439--时代出版**600551.SH
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=8.93--大于7个----换手率=56.5----流通市值=346893.5714--百大集团**600865.SH
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=6.78--大于7个----换手率=41.9----流通市值=778455.5559--创业环保**600874.SH
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=5.46--大于7个----换手率=30.8----流通市值=492083.0068--绿城水务**601368.SH
--筹码突破--20220309----持仓量开始=20211224-结束=20220304--中间值=7.12--大于7个----换手率=32.6----流通市值=222575.0--梅轮电梯**603321.SH
--筹码突破--20220309-持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=605507.5112--北方国际**000065.SZ
--筹码突破--20220309-持仓量开始=20211224-结束=20220304--中间值=20.65--大于7个--换手率=56.1--流通市值=381148.4783--力生制药**002393.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=605508.0--北方国际**000065.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=151376.88--北方国际**000065.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=60.55--北方国际**000065.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=61.0亿--北方国际**000065.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=61.0亿--北方国际**000065.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=20.65--大于7个--换手率=56.1--流通市值=38.0亿--力生制药**002393.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.37--大于7个--换手率=118.4--流通市值=27.0亿--快意电梯--强势股票**002774.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=10.64--大于7个--换手率=27.8--流通市值=17.0亿--绿康生化**002868.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=7.95--大于7个--换手率=32.0--流通市值=42.0亿--时代出版**600551.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.93--大于7个--换手率=56.5--流通市值=35.0亿--百大集团**600865.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=6.78--大于7个--换手率=41.9--流通市值=78.0亿--创业环保**600874.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=5.46--大于7个--换手率=30.8--流通市值=49.0亿--绿城水务**601368.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=7.12--大于7个--换手率=32.6--流通市值=22.0亿--梅轮电梯**603321.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=82.9--流通市值=61.0亿--北方国际**000065.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=5.83换手率=76.3--流通市值=21.0亿--渤海股份**000605.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=6.67换手率=71.2--流通市值=38.0亿--北大医药**000788.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=20.65--大于7个--换手率=56.1--流通市值=38.0亿--力生制药**002393.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=10.19换手率=61.6--流通市值=31.0亿--电光科技**002730.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.37--大于7个--换手率=118.4--流通市值=27.0亿--快意电梯--强势股票**002774.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=17.45换手率=106.6--流通市值=24.0亿--中坚科技--强势股票**002779.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=10.64--大于7个--换手率=27.8--流通市值=17.0亿--绿康生化**002868.SZ
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=7.95--大于7个--换手率=32.0--流通市值=42.0亿--时代出版**600551.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=10.59换手率=106.8--流通市值=27.0亿--中路股份**600818.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=8.93--大于7个--换手率=56.5--流通市值=35.0亿--百大集团**600865.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=6.78--大于7个--换手率=41.9--流通市值=78.0亿--创业环保**600874.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=5.46--大于7个--换手率=30.8--流通市值=49.0亿--绿城水务**601368.SH
--筹码突破--20220225--持仓量开始=20211217-结束=20220225--中间值=10.87换手率=42.1--流通市值=105.0亿--德邦股份--强势股票**603056.SH
--筹码突破--20220309--持仓量开始=20211224-结束=20220304--中间值=7.12--大于7个--换手率=32.6--流通市值=22.0亿--梅轮电梯**603321.SH
--筹码突破--20220228--持仓量开始=20211217-结束=20220225--中间值=42.06换手率=19.4--流通市值=39.0亿--恒林股份**603661.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=18.41--大于7个--换手率=101.0--流通市值=376.0亿--东方盛虹**000301.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.77换手率=105.9--流通市值=100.0亿--吉林化纤**000420.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.96--大于7个--换手率=91.4--流通市值=83.0亿--东北制药**000597.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.83换手率=76.3--流通市值=21.0亿--渤海股份**000605.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.7--大于7个--换手率=34.5--流通市值=61.0亿--新能泰山**000720.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=35.41--大于7个--换手率=85.1--流通市值=335.0亿--华润三九**000999.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=11.97换手率=77.6--流通市值=176.0亿--江苏国泰**002091.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.53--大于7个--换手率=82.9--流通市值=70.0亿--国脉科技--小树股票池**002093.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=20.38--大于7个--换手率=21.9--流通市值=520.0亿--韵达股份**002120.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.1换手率=77.3--流通市值=78.0亿--银轮股份**002126.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.6换手率=96.6--流通市值=71.0亿--海利得**002206.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.64--大于7个--换手率=61.7--流通市值=77.0亿--江南化工**002226.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.58--大于7个--换手率=71.3--流通市值=162.0亿--久立特材**002318.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=20.65--大于7个--换手率=56.1--流通市值=38.0亿--力生制药**002393.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.03--大于7个--换手率=70.3--流通市值=34.0亿--嘉事堂**002462.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=25.08--大于7个--换手率=81.0--流通市值=161.0亿--双环传动**002472.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=18.35--大于7个--换手率=18.3--流通市值=1867.0亿--荣盛石化--有钱君股票池**002493.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=3.62换手率=71.5--流通市值=208.0亿--协鑫集成**002506.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=31.11换手率=28.4--流通市值=171.0亿--金达威**002626.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=21.97--大于7个--换手率=67.1--流通市值=103.0亿--华宏科技--强势股票--有钱君股票池**002645.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.61--大于7个--换手率=97.9--流通市值=29.0亿--鹭燕医药**002788.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.37--大于7个--换手率=69.9--流通市值=14.0亿--红墙股份**002809.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.93--大于7个--换手率=85.7--流通市值=15.0亿--高斯贝尔**002848.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.64--大于7个--换手率=27.8--流通市值=17.0亿--绿康生化**002868.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=26.02--大于7个--换手率=63.0--流通市值=24.0亿--东方嘉盛**002889.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.46换手率=113.0--流通市值=28.0亿--哈三联**002900.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.32--大于7个--换手率=32.1--流通市值=137.0亿--华夏航空**002928.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=17.78--大于7个--换手率=64.3--流通市值=26.0亿--新农股份**002942.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=9.23--大于7个--换手率=33.4--流通市值=103.0亿--五矿发展**600058.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.68--大于7个--换手率=113.2--流通市值=20.0亿--林海股份**600099.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.33换手率=64.5--流通市值=27.0亿--创兴资源**600193.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.39--大于7个--换手率=30.6--流通市值=529.0亿--圆通速递**600233.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=24.85--大于7个--换手率=30.6--流通市值=1829.0亿--恒力石化--强势股票**600346.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.67--大于7个--换手率=26.7--流通市值=261.0亿--小商品城**600415.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.01--大于7个--换手率=70.6--流通市值=181.0亿--双良节能**600481.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.31--大于7个--换手率=36.1--流通市值=47.0亿--天药股份**600488.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=22.04换手率=82.3--流通市值=314.0亿--华海药业**600521.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=25.38--大于7个--换手率=115.0--流通市值=211.0亿--济川药业**600566.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.21--大于7个--换手率=114.0--流通市值=12.0亿--上海三毛**600689.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.63--大于7个--换手率=58.8--流通市值=48.0亿--南京医药**600713.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=3.69换手率=34.3--流通市值=44.0亿--云维股份**600725.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.06--大于7个--换手率=115.9--流通市值=45.0亿--鲁北化工**600727.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.58--大于7个--换手率=39.5--流通市值=55.0亿--苏州高新**600736.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.5--大于7个--换手率=55.4--流通市值=68.0亿--长江传媒**600757.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.53换手率=112.0--流通市值=83.0亿--综艺股份**600770.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.18--大于7个--换手率=38.7--流通市值=36.0亿--人民同泰**600829.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=9.73--大于7个--换手率=95.2--流通市值=22.0亿--第一医药--强势股票**600833.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.2换手率=61.5--流通市值=44.0亿--上海易连--强势股票**600836.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=27.98换手率=109.3--流通市值=433.0亿--杉杉股份--有钱君股票池**600884.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.0换手率=50.7--流通市值=303.0亿--赛轮轮胎**601058.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.22换手率=45.9--流通市值=132.0亿--东材科技--有钱君股票池**601208.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=21.25--大于7个--换手率=70.0--流通市值=532.0亿--桐昆股份**601233.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=19.16--大于7个--换手率=28.6--流通市值=365.0亿--上海医药**601607.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=40.34--大于7个--换手率=64.0--流通市值=305.0亿--明泰铝业--强势股票**601677.SH
--筹码突破--20220225--持仓量开始=20211217-结束=20220225--中间值=10.87换手率=42.1--流通市值=105.0亿--德邦股份--强势股票**603056.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.64换手率=90.0--流通市值=66.0亿--芯能科技**603105.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.38换手率=29.4--流通市值=157.0亿--华贸物流**603128.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=28.29换手率=67.2--流通市值=253.0亿--日月股份--强势股票**603218.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=42.1--大于7个--换手率=56.7--流通市值=78.0亿--景津环保**603279.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.09--大于7个--换手率=65.8--流通市值=18.0亿--迪贝电气**603320.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.64--大于7个--换手率=80.6--流通市值=41.0亿--上海天洋**603330.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.02--大于7个--换手率=37.9--流通市值=31.0亿--百傲化学**603360.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=34.7--大于7个--换手率=47.7--流通市值=155.0亿--广信股份**603599.SH
--筹码突破--20220228--持仓量开始=20211217-结束=20220225--中间值=42.06换手率=19.4--流通市值=39.0亿--恒林股份**603661.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=9.67--大于7个--换手率=71.3--流通市值=41.0亿--卫信康**603676.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.28换手率=94.1--流通市值=32.0亿--海峡环保**603817.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.7--大于7个--换手率=58.0--流通市值=37.0亿--安正时尚--强势股票**603839.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=21.96--大于7个--换手率=44.1--流通市值=16.0亿--中公高科**603860.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=35.7--大于7个--换手率=64.8--流通市值=175.0亿--鼎胜新材--强势股票--有钱君股票池**603876.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=15.34--大于7个--换手率=43.9--流通市值=76.0亿--百利科技**603959.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.77换手率=105.9--流通市值=100.0亿--吉林化纤**000420.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.96--大于7个--换手率=91.4--流通市值=83.0亿--东北制药**000597.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.83换手率=76.3--流通市值=21.0亿--渤海股份**000605.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.7--大于7个--换手率=34.5--流通市值=61.0亿--新能泰山**000720.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.53--大于7个--换手率=82.9--流通市值=70.0亿--国脉科技--小树股票池**002093.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.1换手率=77.3--流通市值=78.0亿--银轮股份**002126.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.6换手率=96.6--流通市值=71.0亿--海利得**002206.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.64--大于7个--换手率=61.7--流通市值=77.0亿--江南化工**002226.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=20.65--大于7个--换手率=56.1--流通市值=38.0亿--力生制药**002393.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.03--大于7个--换手率=70.3--流通市值=34.0亿--嘉事堂**002462.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.61--大于7个--换手率=97.9--流通市值=29.0亿--鹭燕医药**002788.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.37--大于7个--换手率=69.9--流通市值=14.0亿--红墙股份**002809.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.93--大于7个--换手率=85.7--流通市值=15.0亿--高斯贝尔**002848.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.64--大于7个--换手率=27.8--流通市值=17.0亿--绿康生化**002868.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=26.02--大于7个--换手率=63.0--流通市值=24.0亿--东方嘉盛**002889.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.46换手率=113.0--流通市值=28.0亿--哈三联**002900.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=17.78--大于7个--换手率=64.3--流通市值=26.0亿--新农股份**002942.SZ
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.68--大于7个--换手率=113.2--流通市值=20.0亿--林海股份**600099.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.33换手率=64.5--流通市值=27.0亿--创兴资源**600193.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.31--大于7个--换手率=36.1--流通市值=47.0亿--天药股份**600488.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.21--大于7个--换手率=114.0--流通市值=12.0亿--上海三毛**600689.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.63--大于7个--换手率=58.8--流通市值=48.0亿--南京医药**600713.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=3.69换手率=34.3--流通市值=44.0亿--云维股份**600725.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.06--大于7个--换手率=115.9--流通市值=45.0亿--鲁北化工**600727.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.58--大于7个--换手率=39.5--流通市值=55.0亿--苏州高新**600736.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=5.5--大于7个--换手率=55.4--流通市值=68.0亿--长江传媒**600757.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.53换手率=112.0--流通市值=83.0亿--综艺股份**600770.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.18--大于7个--换手率=38.7--流通市值=36.0亿--人民同泰**600829.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=9.73--大于7个--换手率=95.2--流通市值=22.0亿--第一医药--强势股票**600833.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.2换手率=61.5--流通市值=44.0亿--上海易连--强势股票**600836.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.64换手率=90.0--流通市值=66.0亿--芯能科技**603105.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=42.1--大于7个--换手率=56.7--流通市值=78.0亿--景津环保**603279.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.09--大于7个--换手率=65.8--流通市值=18.0亿--迪贝电气**603320.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.64--大于7个--换手率=80.6--流通市值=41.0亿--上海天洋**603330.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.02--大于7个--换手率=37.9--流通市值=31.0亿--百傲化学**603360.SH
--筹码突破--20220228--持仓量开始=20211217-结束=20220225--中间值=42.06换手率=19.4--流通市值=39.0亿--恒林股份**603661.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=9.67--大于7个--换手率=71.3--流通市值=41.0亿--卫信康**603676.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.28换手率=94.1--流通市值=32.0亿--海峡环保**603817.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.7--大于7个--换手率=58.0--流通市值=37.0亿--安正时尚--强势股票**603839.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=21.96--大于7个--换手率=44.1--流通市值=16.0亿--中公高科**603860.SH
--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=15.34--大于7个--换手率=43.9--流通市值=76.0亿--百利科技**603959.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=9.53--大于7个--换手率=56.7--流通市值=56.0亿--云南能投--强势股票**002053.SZ
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=8.23--大于7个--换手率=80.3--流通市值=32.0亿--皖通科技**002331.SZ
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=10.94--换手率=79.9--流通市值=36.0亿--克明食品**002661.SZ
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=4.38--大于7个--换手率=45.7--流通市值=30.0亿--顺威股份**002676.SZ
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=8.93--大于7个--换手率=85.7--流通市值=15.0亿--高斯贝尔**002848.SZ
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=8.9--大于7个--换手率=27.9--流通市值=21.0亿--捷荣技术**002855.SZ
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=8.34--换手率=103.1--流通市值=29.0亿--金花股份**600080.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=7.68--大于7个--换手率=50.8--流通市值=23.0亿--长江投资**600119.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=5.45--换手率=75.4--流通市值=28.0亿--两面针**600249.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=7.71--大于7个--换手率=38.6--流通市值=53.0亿--东方创业**600278.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=6.02--大于7个--换手率=78.0--流通市值=54.0亿--大东方--强势股票**600327.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=21.56--大于7个--换手率=119.5--流通市值=88.0亿--贵航股份**600523.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=4.27--大于7个--换手率=25.1--流通市值=46.0亿--交运股份**600676.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=4.58--大于7个--换手率=39.5--流通市值=55.0亿--苏州高新**600736.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=22.23--换手率=103.6--流通市值=27.0亿--上海洗霸**603200.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=16.64--大于7个--换手率=80.6--流通市值=41.0亿--上海天洋**603330.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=9.0--换手率=85.3--流通市值=45.0亿--尚纬股份**603333.SH
--筹码突破--20220311--持仓量开始=20211224-结束=20220304--中间值=7.23--大于7个--换手率=34.1--流通市值=44.0亿--长久物流**603569.SH
--筹码突破--20220308----北方国际**000065.SZ
--筹码突破--20220308----持仓量_周线开始=20211224-结束=20220304--中间值=8.23--大于7个----换手率=82.9--000065.SZ--北方国际--北方国际**000065.SZ
--筹码突破--20220308----持仓量_周线开始=20211224-结束=20220304--中间值=8.23--大于7个----换手率=82.9----北方国际**000065.SZ
--筹码突破--20220308--持仓量_周线开始=20211224-结束=20220304--中间值=8.23--大于7个----换手率=82.9----北方国际**000065.SZ
--筹码突破--20220308--持仓量_周线开始=20211224-结束=20220304--中间值=8.44--换手率=82.9----北方国际**000065.SZ
--筹码突破--20220308--持仓量_周线开始=20211224-结束=20220304--中间值=8.44--周数=8--换手率=82.9----北方国际**000065.SZ
--筹码突破--20220208--持仓量_周线开始=20211126-结束=20220128--中间值=7.81--周数=9--换手率=36.4----黑牡丹**600510.SH
--筹码突破--20220207--持仓量_周线开始=20211126-结束=20220128--中间值=5.46--周数=6--换手率=43.9----浙江交科**002061.SZ
--筹码突破--20220208--持仓量_周线开始=20211126-结束=20220128--中间值=10.27--周数=8--换手率=21.8----成都燃气**603053.SH
--筹码突破--20220218--持仓量_周线开始=20211210-结束=20220218--中间值=20.73--周数=7--换手率=59.7----华海药业**600521.SH
--筹码突破--20220111--持仓量_周线开始=20211105-结束=20220107--中间值=8.69--周数=6--换手率=52.2----中路股份**600818.SH
--筹码突破--20220223--持仓量_周线开始=20211210-结束=20220218--中间值=9.36--周数=8--换手率=66.1----翔鹭钨业**002842.SZ
--筹码突破--20220308--持仓量_周线开始=20211224-结束=20220304--中间值=8.44--周数=8--换手率=82.9----北方国际**000065.SZ
